8690,1,832,1503,2564,1293,163,1
8690,9623,7155,4295,5595,2102,326,1
17380,19247,5158,6228,4196,2263,326,1
26070,1,9152,8376,9558,3718,1,1
8690,9623,1996,1073,233,646,1,1
8690,9623,7488,6014,10491,4850,652,1
8690,1,4326,4510,6294,3072,652,1
17380,1,2995,3221,4196,1778,1,1
8690,9623,11481,9021,10957,2910,326,1
8690,1,5824,4940,3963,1616,652,1
8690,1,1331,1503,699,323,163,1
26070,19247,8653,12028,17252,7761,652,1
8690,1,2828,859,2564,1293,163,1
8690,1,2496,2577,2797,1131,1,1
8690,9623,5824,4940,5828,2425,489,1
8690,1,6656,9021,6527,2425,815,1
8690,9623,9817,13746,10957,4527,652,1
8690,28870,2163,4080,3963,2263,978,1
8690,1,3660,3436,3263,808,163,1
17380,1,8486,6658,10025,4042,1,158
8690,1,499,859,2331,1131,1,1
8690,9623,18138,14390,15853,8569,815,1
26070,1,8486,10095,6761,4689,1630,1
8690,1,4492,3866,3263,1616,489,1
8690,19247,5990,6014,7693,3233,978,1
8690,19247,8486,11383,11890,5174,978,1
26070,9623,17971,20404,15853,6306,163,1
34760,19247,15808,17397,14221,3233,1141,1
8690,19247,7987,6658,3730,808,326,1
17380,28870,4659,11383,135689,1357100,1964904,2009251
17380,1,2828,2147,2564,1293,163,1
8690,1,5657,6873,7926,1940,163,158
17380,28870,16307,15679,15853,7923,978,1
8690,1,1164,1073,1631,646,1,1
17380,9623,6156,6443,6527,3233,978,158
8690,1,5824,3436,4662,808,163,1
8690,1,3993,3007,5362,1940,489,1
8690,1,6489,9021,7460,2748,326,1
8690,1,3993,2147,1165,1131,163,1
8690,1,9817,11598,5828,2748,815,1
8690,1,3660,4725,7227,1778,489,1
8690,1,6822,8591,3963,1293,489,1
34760,1,9152,10954,13755,3880,489,1
8690,9623,15808,13961,18884,4689,1141,1
8690,1,1664,2147,1398,1616,489,1
17380,1,2662,3866,699,970,1,1
26070,19247,8486,7302,5129,3233,326,1
17380,1,4992,7517,7227,3233,489,1
17380,1,3993,4080,4196,1778,326,1
8690,1,4326,5154,4895,1293,815,1
8690,1,7654,8161,6994,2263,326,1
17380,1,5491,4940,4662,1616,163,1
8690,1,4160,1933,2331,1778,978,1
26070,1,6822,11383,6761,2910,163,1
17380,19247,6822,8161,6994,2425,978,1
8690,1,2496,3221,2098,161,1,1
26070,9623,21466,10309,16553,5659,1141,1
8690,19247,6822,6873,4895,3395,163,1
26070,38494,20135,10954,10491,6467,1630,1
26070,1,8153,10739,11190,3233,815,158
17380,9623,5990,6443,9092,2102,978,1
8690,9623,5324,4940,6994,2102,1,1
17380,28870,24461,24700,18418,7599,1630,1
86901,76988,62568,65510,59917,24577,4076,1
8690,1,1664,859,932,1,1,1
17380,19247,4992,4080,3963,1616,326,1
8690,1,4992,3651,3263,808,326,1
8690,19247,11315,12028,11657,3718,163,158
8690,1,1996,2362,1165,646,1,1
34760,28870,13146,18471,10491,4689,978,1
17380,1,8153,7732,3263,1778,652,1
8690,1,8653,9665,9558,3718,1,1
8690,1,1830,3007,3730,1131,163,1
8690,9623,8819,9880,4196,1778,1,1
8690,19247,10816,9880,11657,3395,1467,1
43450,57741,26125,30285,44996,20535,5218,634
8690,1,5824,4725,4429,2263,163,1
8690,1,1996,3007,2564,1131,1,1
17380,9623,17139,16538,15154,6629,1141,1
34760,1,12313,8161,6527,2748,326,1
8690,9623,7654,6443,8626,5982,326,317
17380,9623,11149,11383,10258,6306,1141,1
8690,19247,5824,6228,5595,2748,163,1
17380,19247,14810,8806,14921,5174,815,1
17380,9623,17139,17397,14687,5174,1304,1
8690,9623,3993,3651,1398,808,1,1
8690,1,5324,11168,7460,3557,815,1
8690,1,2995,2792,2098,808,163,1
8690,9623,5990,5584,4429,1293,1,1
26070,9623,17472,14175,17951,7276,489,475
8690,9623,2329,1503,1165,323,1,1
17380,19247,39770,41883,39167,19403,3913,158
34760,9623,14976,20404,11423,4365,489,1
8690,1,2329,644,2098,485,1,1
