file_prefix,sample
18032FL-111-01-76,EvolvingFront_WGS_Plate1_D10
18032FL-111-01-84,EvolvingFront_WGS_Plate1_D11
18032FL-111-01-92,EvolvingFront_WGS_Plate1_D12
18032FL-111-01-05,EvolvingFront_WGS_Plate1_E01
18032FL-111-01-13,EvolvingFront_WGS_Plate1_E02
18032FL-111-01-21,EvolvingFront_WGS_Plate1_E03
18032FL-111-01-29,EvolvingFront_WGS_Plate1_E04
18032FL-111-01-37,EvolvingFront_WGS_Plate1_E05
18032FL-111-01-45,EvolvingFront_WGS_Plate1_E06
18032FL-111-01-53,EvolvingFront_WGS_Plate1_E07
18032FL-111-01-61,EvolvingFront_WGS_Plate1_E08
18032FL-111-01-69,EvolvingFront_WGS_Plate1_E09
18032FL-111-01-77,EvolvingFront_WGS_Plate1_E10
18032FL-111-01-85,EvolvingFront_WGS_Plate1_E11
18032FL-111-01-93,EvolvingFront_WGS_Plate1_E12
18032FL-111-01-06,EvolvingFront_WGS_Plate1_F01
18032FL-111-01-14,EvolvingFront_WGS_Plate1_F02
18032FL-111-01-22,EvolvingFront_WGS_Plate1_F03
18032FL-111-01-30,EvolvingFront_WGS_Plate1_F04
18032FL-111-01-38,EvolvingFront_WGS_Plate1_F05
18032FL-111-01-46,EvolvingFront_WGS_Plate1_F06
18032FL-111-01-54,EvolvingFront_WGS_Plate1_F07
18032FL-111-01-62,EvolvingFront_WGS_Plate1_F08
18032FL-111-01-70,EvolvingFront_WGS_Plate1_F09
18032FL-111-01-78,EvolvingFront_WGS_Plate1_F10
18032FL-111-01-86,EvolvingFront_WGS_Plate1_F11
18032FL-111-01-94,EvolvingFront_WGS_Plate1_F12
18032FL-111-01-07,EvolvingFront_WGS_Plate1_G01
18032FL-111-01-15,EvolvingFront_WGS_Plate1_G02
18032FL-111-01-23,EvolvingFront_WGS_Plate1_G03
18032FL-111-01-31,EvolvingFront_WGS_Plate1_G04
18032FL-111-01-39,EvolvingFront_WGS_Plate1_G05
18032FL-111-01-47,EvolvingFront_WGS_Plate1_G06
18032FL-111-01-55,EvolvingFront_WGS_Plate1_G07
18032FL-111-01-63,EvolvingFront_WGS_Plate1_G08
18032FL-111-01-71,EvolvingFront_WGS_Plate1_G09
18032FL-111-01-79,EvolvingFront_WGS_Plate1_G10
18032FL-111-01-87,EvolvingFront_WGS_Plate1_G11
18032FL-111-01-95,EvolvingFront_WGS_Plate1_G12
18032FL-111-01-08,EvolvingFront_WGS_Plate1_H01
18032FL-111-01-16,EvolvingFront_WGS_Plate1_H02
18032FL-111-01-24,EvolvingFront_WGS_Plate1_H03
18032FL-111-01-32,EvolvingFront_WGS_Plate1_H04
18032FL-111-01-40,EvolvingFront_WGS_Plate1_H05
18032FL-111-01-48,EvolvingFront_WGS_Plate1_H06
18032FL-111-01-56,EvolvingFront_WGS_Plate1_H07
18032FL-111-01-64,EvolvingFront_WGS_Plate1_H08
18032FL-111-01-72,EvolvingFront_WGS_Plate1_H09
18032FL-111-01-80,EvolvingFront_WGS_Plate1_H10
18032FL-111-01-88,EvolvingFront_WGS_Plate1_H11
18032FL-111-01-96,EvolvingFront_WGS_Plate1_H12
18032FL-111-07-01,EvolvingFront_WGS_Plate2_A01
18032FL-111-07-09,EvolvingFront_WGS_Plate2_A02
18032FL-111-07-17,EvolvingFront_WGS_Plate2_A03
18032FL-111-07-25,EvolvingFront_WGS_Plate2_A04
18032FL-111-07-33,EvolvingFront_WGS_Plate2_A05
18032FL-111-07-41,EvolvingFront_WGS_Plate2_A06
18032FL-111-07-49,EvolvingFront_WGS_Plate2_A07
18032FL-111-07-57,EvolvingFront_WGS_Plate2_A08
18032FL-111-07-65,EvolvingFront_WGS_Plate2_A09
18032FL-111-07-73,EvolvingFront_WGS_Plate2_A10
18032FL-111-07-81,EvolvingFront_WGS_Plate2_A11
18032FL-111-07-89,EvolvingFront_WGS_Plate2_A12
18032FL-111-07-02,EvolvingFront_WGS_Plate2_B01
18032FL-111-07-10,EvolvingFront_WGS_Plate2_B02
18032FL-111-07-18,EvolvingFront_WGS_Plate2_B03
18032FL-111-07-26,EvolvingFront_WGS_Plate2_B04
18032FL-111-07-34,EvolvingFront_WGS_Plate2_B05
18032FL-111-07-42,EvolvingFront_WGS_Plate2_B06
18032FL-111-07-50,EvolvingFront_WGS_Plate2_B07
18032FL-111-07-58,EvolvingFront_WGS_Plate2_B08
18032FL-111-07-66,EvolvingFront_WGS_Plate2_B09
18032FL-111-07-74,EvolvingFront_WGS_Plate2_B10
18032FL-111-07-82,EvolvingFront_WGS_Plate2_B11
18032FL-111-07-90,EvolvingFront_WGS_Plate2_B12
18032FL-111-07-03,EvolvingFront_WGS_Plate2_C01
18032FL-111-07-11,EvolvingFront_WGS_Plate2_C02
